Geneid,CT3F,CT17F,ELS20F,CT19F,CT12F,CT5F,ELS14F,ELS7F,ELS15F,ELS18F,CT15F,ELS17F
ENSMUSG00000102628,38,42,22,22,54,22,30,16,14,14,26,28
ENSMUSG00000100595,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097426,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104478,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086053,0,3,8,6,8,9,4,4,4,4,8,9
ENSMUSG00000101231,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,8,1,2,0,0,0,0,0,1,0,0,1
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101097,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100764,22,9,6,7,5,6,5,11,19,8,11,4
ENSMUSG00000102095,0,0,0,0,0,1,0,0,0,0,2,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100831,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100635,0,5,2,0,2,4,4,4,9,0,1,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100480,5,23,6,14,14,14,11,14,16,13,6,28
ENSMUSG00000114212,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114943,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076531,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100025,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114694,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114582,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114591,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076687,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100954,112,62,63,27,49,42,58,58,56,20,66,61
ENSMUSG00000051285,302,1888,1416,1736,1853,2254,1884,2085,1738,2231,1876,1826
ENSMUSG00000098201,12,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000103509,158,28,18,18,30,131,16,58,25,14,6,38
ENSMUSG00000048538,0,0,0,0,4,2,0,2,2,2,0,0
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000097797,43,78,98,96,171,95,96,102,89,114,105,54
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026312,10,359,208,258,293,382,302,332,368,386,277,216
ENSMUSG00000100290,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100758,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099926,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039748,3,5,6,8,14,6,6,15,9,6,14,6
ENSMUSG00000118715,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104158,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103540,6,4,2,1,0,0,2,0,11,0,6,4
ENSMUSG00000057363,686,1647,1517,1584,1355,1432,1584,1548,1654,1784,1632,1646
ENSMUSG00000047216,6,148,112,133,199,153,152,184,134,152,94,160
ENSMUSG00000102788,0,4,0,2,4,8,0,0,0,0,0,0
ENSMUSG00000102160,0,8,2,2,10,10,0,2,0,10,6,2
ENSMUSG00000101253,0,3,0,3,1,2,0,0,0,0,2,2
ENSMUSG00000101846,0,2,1,9,0,2,0,3,0,0,3,0
ENSMUSG00000090243,0,12,10,8,0,20,4,0,7,12,4,2
ENSMUSG00000100701,0,4,0,2,2,0,0,0,2,0,4,4
ENSMUSG00000100555,24,5,2,4,2,30,4,11,12,8,6,2
ENSMUSG00000101395,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102728,7,2,4,8,10,3,2,8,12,0,4,2
ENSMUSG00000088848,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075225,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038702,84,344,168,326,392,395,314,299,309,404,336,342
ENSMUSG00000101875,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099732,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101220,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100020,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101054,0,2,0,3,0,6,0,5,0,2,4,8
ENSMUSG00000088691,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099884,0,0,0,0,0,1,0,0,0,0,0,0
