Geneid,CT4M,CT2M,CT9M,ELS1M,ELS2M,ELS11M,CT3M,CT1M,ELS10M,ELS3M,CT11M,ELS4M
ENSMUSG00000102628,26,24,36,22,18,14,17,10,14,14,38,28
ENSMUSG00000100595,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000097426,0,0,2,0,0,0,2,0,0,0,0,0
ENSMUSG00000104478,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000086053,6,3,4,24,11,0,11,7,6,16,2,15
ENSMUSG00000101231,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,0,0,0,0,0,0,3,1,0,7,0,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101097,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100764,17,17,4,8,8,2,14,6,6,0,14,2
ENSMUSG00000102095,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100831,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,9,0,2,6,15,1,4,7,2
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000100480,7,10,8,14,21,7,4,6,25,8,2,0
ENSMUSG00000114212,0,0,0,0,0,0,0,0,0,8,0,0
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114943,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00002076531,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100025,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000114694,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114582,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114591,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00002076687,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100954,57,71,65,60,61,61,53,54,42,61,55,63
ENSMUSG00000051285,2659,2062,2311,2756,2614,1826,2728,3436,2242,2422,1686,1569
ENSMUSG00000098201,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103509,156,44,40,141,57,17,70,103,66,158,27,152
ENSMUSG00000048538,6,0,0,0,0,0,6,2,0,1,0,0
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,107,115,104,90,116,134,87,126,70,53,94,79
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,6,0,0,6,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,4,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026312,467,228,324,588,399,254,373,498,348,338,232,280
ENSMUSG00000100290,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000100758,0,0,0,0,4,0,0,0,0,0,0,4
ENSMUSG00000099926,0,0,0,0,0,0,3,0,0,1,0,0
ENSMUSG00000039748,27,7,14,17,14,10,16,26,22,8,10,0
ENSMUSG00000118715,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104158,2,0,0,0,2,0,0,0,0,0,2,0
ENSMUSG00000103540,2,17,4,2,4,8,4,6,2,2,2,6
ENSMUSG00000057363,1481,1571,1484,2128,1863,1579,2162,2348,1501,1743,1360,1085
