Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CT11M	3.5	20893032	7320776	20893032	3133954800	6615993	3093015903	1.3063014501676924
CT12F	3.5	20443475	7402720	20443475	3066521250	7497012	3023118068	1.4153882677317173
CT15F	3.5	22059656	8271554	22059656	3308948400	7562243	3244188044	1.957128010820598
CT17F	3.5	25166951	9550566	25166951	3775042650	9294503	3691614985	2.209979402484367
CT19F	3.5	21227083	7840356	21227083	3184062450	6906562	3130748356	1.6744047843659597
CT1M	3.5	25289655	8831461	25289655	3793448250	9776787	3756277339	0.9798713083801789
CT2M	3.5	21748348	7787944	21748348	3262252200	12615840	3225078813	1.1395007105827073
CT3F	3.5	35243117	11191947	35243117	5286467550	44885308	5189671884	1.8310084207364519
CT3M	3.5	23988116	8149168	23988116	3598217400	10736671	3565958653	0.8965202324906771
CT4M	3.5	22856746	7671099	22856746	3428511900	8093128	3399422436	0.8484574313421516
CT5F	3.5	27427894	9262677	27427894	4114184100	8995741	4057116565	1.3870924006536314
CT9M	3.5	20639757	7301217	20639757	3095963550	7879499	3047739460	1.5576439845359291
ELS10M	3.5	20921031	6998710	20921031	3138154650	6874986	3107289028	0.9835596215756927
ELS11M	3.5	21286260	7495308	21286260	3192939000	8288849	3147057113	1.4369797543892946
ELS14F	3.5	21181354	7897111	21181354	3177203100	6411838	3128737077	1.5254304328231332
ELS15F	3.5	21104311	7867242	21104311	3165646650	7460109	3118007118	1.5048910149210746
ELS17F	3.5	22220070	7953378	22220070	3333010500	8597353	3288265457	1.3424813093148071
ELS18F	3.5	20524281	8024818	20524281	3078642150	7576031	3024477832	1.7593573842286283
ELS1M	3.5	24979378	8543268	24979378	3746906700	9635918	3713656319	0.88740883246439
ELS20F	3.5	21286277	7535639	21286277	3192941550	7114619	3145433844	1.4878977662463004
ELS2M	3.5	25045108	8357149	25045108	3756766200	9209999	3724551062	0.8575231005858176
ELS3M	3.5	21369674	7499949	21369674	3205451100	8294105	3173354893	1.0013007841548416
ELS4M	3.5	18790101	7708879	18790101	2818515150	9825738	2740926330	2.7528260758151326
ELS7F	3.5	22205998	7839280	22205998	3330899700	7432359	3284466167	1.394023752801683
