Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CT11M	41768418	41768418	87.08	18189931.0	1.3063014501676924	56.90128322330402	50.0	147.49219970299902	27.27272727272727	20888820.0
CT12F	41825747	41825747	86.43	17665295.0	1.4153882677317173	58.439860088841236	49.0	147.36472004017514	27.27272727272727	20438504.0
CT15F	44462996	44462996	88.49	19517067.0	1.957128010820598	56.150386379354664	50.0	146.6023012671342	27.27272727272727	22055675.0
CT17F	49666882	49666882	83.29	20956888.0	2.209979402484367	63.78768149049115	51.0	146.25520433202695	27.27272727272727	25162355.0
CT19F	42710907	42710907	87.63	18597197.0	1.6744047843659597	57.653476056917256	50.0	146.9356244364734	27.27272727272727	21223488.0
CT1M	51788171	51788171	91.33	23090194.0	0.9798713083801789	55.03653639865364	50.0	148.00639097652166	27.27272727272727	25281426.0
CT2M	45601885	45601885	90.42	19659083.0	1.1395007105827073	62.00178939414581	49.0	147.7659715518652	27.27272727272727	21741109.0
CT3F	58801065	58801065	70.09	24692202.0	1.8310084207364519	85.54421856790205	55.0	146.80989542240656	27.27272727272727	35229057.0
CT3M	48801880	48801880	90.65	21739910.0	0.8965202324906771	53.416723617558254	50.0	148.1632370059526	27.27272727272727	23982693.0
CT4M	45748637	45748637	88.66	20260363.0	0.8484574313421516	51.899195805404375	51.0	148.22228447450252	27.27272727272727	22851461.0
CT5F	52386809	52386809	82.81	22708219.0	1.3870924006536314	62.21741519394417	53.0	147.4622797110239	27.27272727272727	27422616.0
CT9M	40499243	40499243	85.99	17744444.0	1.5576439845359291	56.57503974553796	51.0	147.16296766429332	27.27272727272727	20635609.0
ELS10M	40837836	40837836	87.71	18344818.0	0.9835596215756927	54.89416677676308	51.0	147.98433249567785	27.27272727272727	20915520.0
ELS11M	42635862	42635862	87.19	18554266.0	1.4369797543892946	57.6578539309758	51.0	147.3507639840379	27.27272727272727	21280942.0
ELS14F	43006888	43006888	88.15	18669102.0	1.5254304328231332	57.40932420637533	49.0	147.13685439482023	27.27272727272727	21178443.0
ELS15F	43021689	43021689	87.17	18393487.0	1.5048910149210746	61.65035163738545	49.0	147.1905353873287	27.27272727272727	21101508.0
ELS17F	44369666	44369666	84.17	18699750.0	1.3424813093148071	62.48947674253129	49.0	147.47528805729655	27.27272727272727	22215372.0
ELS18F	41487442	41487442	86.44	17738035.0	1.7593573842286283	60.211447641072766	48.0	146.8377156822582	27.27272727272727	20521681.0
ELS1M	51184475	51184475	92.1	22999935.0	0.88740883246439	49.910863692080376	50.0	148.18292669204823	18.181818181818183	24973239.0
ELS20F	41872510	41872510	86.37	18379931.0	1.4878977662463004	58.81655314909383	52.0	147.32526861685054	27.27272727272727	21279566.0
ELS2M	50114042	50114042	88.28	22103779.0	0.8575231005858176	55.22079213041736	51.0	148.21415110010003	27.27272727272727	25038223.0
ELS3M	44448642	44448642	92.31	19720500.0	1.0013007841548416	47.52533909436297	49.0	147.9758346288511	18.181818181818183	21362759.0
ELS4M	37747517	37747517	87.61	16450505.0	2.7528260758151326	49.81344080410862	50.0	145.43092385469646	18.181818181818183	18777271.0
ELS7F	43985565	43985565	87.57	19441533.0	1.394023752801683	55.27477950311408	51.0	147.40013572911542	27.27272727272727	22201574.0
