Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
CT11M	41768418	0	2895299	0	0	0	0	0	41768418	0	100.0	nan	38873119	0	19437213	0	19435906	0	38865806	0	99.98	nan	38865806	0	7313	0	0.02	nan	0	0	0	0	41768418
CT12F	41825747	0	3448617	0	0	0	0	0	41825747	0	100.0	nan	38377130	0	19189549	0	19187581	0	38369228	0	99.98	nan	38369228	0	7902	0	0.02	nan	0	0	0	0	41825747
CT15F	44462996	0	2943416	0	0	0	0	0	44462996	0	100.0	nan	41519580	0	20760678	0	20758902	0	41512074	0	99.98	nan	41512074	0	7506	0	0.02	nan	0	0	0	0	44462996
CT17F	49666882	0	4175813	0	0	0	0	0	49666882	0	100.0	nan	45491069	0	22746690	0	22744379	0	45482524	0	99.98	nan	45482524	0	8545	0	0.02	nan	0	0	0	0	49666882
CT19F	42710907	0	2976760	0	0	0	0	0	42710907	0	100.0	nan	39734147	0	19868186	0	19865961	0	39727262	0	99.98	nan	39727262	0	6885	0	0.02	nan	0	0	0	0	42710907
CT1M	51788171	0	3070732	0	0	0	0	0	51788171	0	100.0	nan	48717439	0	24359847	0	24357592	0	48708452	0	99.98	nan	48708452	0	8987	0	0.02	nan	0	0	0	0	51788171
CT2M	45601885	0	3458709	0	0	0	0	0	45601885	0	100.0	nan	42143176	0	21072923	0	21070253	0	42133652	0	99.98	nan	42133652	0	9524	0	0.02	nan	0	0	0	0	45601885
CT3F	58801065	0	5278450	0	0	0	0	0	58801065	0	100.0	nan	53522615	0	26764763	0	26757852	0	53484470	0	99.93	nan	53484470	0	38145	0	0.07	nan	0	0	0	0	58801065
CT3M	48801880	0	2913781	0	0	0	0	0	48801880	0	100.0	nan	45888099	0	22945090	0	22943009	0	45880804	0	99.98	nan	45880804	0	7295	0	0.02	nan	0	0	0	0	48801880
CT4M	45748637	0	2846693	0	0	0	0	0	45748637	0	100.0	nan	42901944	0	21451641	0	21450303	0	42896078	0	99.99	nan	42896078	0	5866	0	0.01	nan	0	0	0	0	45748637
CT5F	52386809	0	3764523	0	0	0	0	0	52386809	0	100.0	nan	48622286	0	24312069	0	24310217	0	48613300	0	99.98	nan	48613300	0	8986	0	0.02	nan	0	0	0	0	52386809
CT9M	40499243	0	2722912	0	0	0	0	0	40499243	0	100.0	nan	37776331	0	18888527	0	18887804	0	37767222	0	99.98	nan	37767222	0	9109	0	0.02	nan	0	0	0	0	40499243
ELS10M	40837836	0	2264178	0	0	0	0	0	40837836	0	100.0	nan	38573658	0	19287196	0	19286462	0	38564588	0	99.98	nan	38564588	0	9070	0	0.02	nan	0	0	0	0	40837836
ELS11M	42635862	0	2976183	0	0	0	0	0	42635862	0	100.0	nan	39659679	0	19830418	0	19829261	0	39649478	0	99.97	nan	39649478	0	10201	0	0.03	nan	0	0	0	0	42635862
ELS14F	43006888	0	3047362	0	0	0	0	0	43006888	0	100.0	nan	39959526	0	19980651	0	19978875	0	39952886	0	99.98	nan	39952886	0	6640	0	0.02	nan	0	0	0	0	43006888
ELS15F	43021689	0	3343968	0	0	0	0	0	43021689	0	100.0	nan	39677721	0	19839419	0	19838302	0	39669582	0	99.98	nan	39669582	0	8139	0	0.02	nan	0	0	0	0	43021689
ELS17F	44369666	0	3728992	0	0	0	0	0	44369666	0	100.0	nan	40640674	0	20321981	0	20318693	0	40629112	0	99.97	nan	40629112	0	11562	0	0.03	nan	0	0	0	0	44369666
ELS18F	41487442	0	3215495	0	0	0	0	0	41487442	0	100.0	nan	38271947	0	19136487	0	19135460	0	38263278	0	99.98	nan	38263278	0	8669	0	0.02	nan	0	0	0	0	41487442
ELS1M	51184475	0	2825982	0	0	0	0	0	51184475	0	100.0	nan	48358493	0	24180263	0	24178230	0	48351932	0	99.99	nan	48351932	0	6561	0	0.01	nan	0	0	0	0	51184475
ELS20F	41872510	0	2788879	0	0	0	0	0	41872510	0	100.0	nan	39083631	0	19541992	0	19541639	0	39076506	0	99.98	nan	39076506	0	7125	0	0.02	nan	0	0	0	0	41872510
ELS2M	50114042	0	3233999	0	0	0	0	0	50114042	0	100.0	nan	46880043	0	23440954	0	23439089	0	46872506	0	99.98	nan	46872506	0	7537	0	0.02	nan	0	0	0	0	50114042
ELS3M	44448642	0	2761129	0	0	0	0	0	44448642	0	100.0	nan	41687513	0	20844923	0	20842590	0	41680092	0	99.98	nan	41680092	0	7421	0	0.02	nan	0	0	0	0	44448642
ELS4M	37747517	0	2802193	0	0	0	0	0	37747517	0	100.0	nan	34945324	0	17473517	0	17471807	0	34937432	0	99.98	nan	34937432	0	7892	0	0.02	nan	0	0	0	0	37747517
ELS7F	43985565	0	2773075	0	0	0	0	0	43985565	0	100.0	nan	41212490	0	20606836	0	20605654	0	41203962	0	99.98	nan	41203962	0	8528	0	0.02	nan	0	0	0	0	43985565
