Sample	1	10	11	12	13	14	15	16	17	18	19	2	3	4	5	6	7	8	9	MT	X	Y	JH584299.1	GL456233.2	JH584301.1	GL456211.1	GL456221.1	JH584297.1	JH584296.1	GL456354.1	JH584298.1	JH584300.1	GL456219.1	GL456210.1	JH584303.1	JH584302.1	GL456212.1	JH584304.1	GL456379.1	GL456366.1	GL456367.1	GL456239.1	GL456383.1	GL456385.1	GL456360.1	GL456378.1	MU069435.1	GL456389.1	GL456372.1	GL456370.1	GL456381.1	GL456387.1	GL456390.1	GL456394.1	GL456392.1	GL456382.1	GL456359.1	GL456396.1	GL456368.1	MU069434.1	JH584295.1	*
CT11M	[3247108, 195154279]	[1724512, 130530862]	[3314369, 121973369]	[1393816, 120092757]	[1005942, 120883175]	[1035758, 125139656]	[1764925, 104073951]	[1308763, 98008968]	[2591654, 95294699]	[910441, 90720763]	[1226521, 61420004]	[3229764, 181755017]	[1397506, 159745316]	[2079125, 156860686]	[2290956, 151758149]	[1677479, 149588044]	[2976882, 144995196]	[1845632, 130127694]	[2002485, 124359700]	[3387118, 16299]	[1106582, 169476592]	[17616, 91455967]	[8, 953012]	[1011, 559103]	[0, 259875]	[16, 241735]	[18, 206961]	[24, 205776]	[22, 199368]	[8, 195993]	[12, 184189]	[4, 182347]	[0, 175968]	[14, 169725]	[0, 158099]	[0, 155838]	[10, 153618]	[4829, 114452]	[30, 72385]	[28, 47073]	[0, 42057]	[0, 40056]	[2, 38659]	[0, 35240]	[14, 31704]	[8, 31602]	[226386, 31129]	[0, 28772]	[0, 28664]	[66, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[196, 23158]	[4, 22974]	[0, 21240]	[2, 20208]	[172, 8412]	[580, 1976]	[0, 0]
CT12F	[3856552, 195154279]	[1624785, 130530862]	[3078337, 121973369]	[1393521, 120092757]	[1002323, 120883175]	[1019398, 125139656]	[1648625, 104073951]	[1236835, 98008968]	[2052581, 95294699]	[880365, 90720763]	[1145276, 61420004]	[3156347, 181755017]	[1333640, 159745316]	[2012657, 156860686]	[2207234, 151758149]	[1591404, 149588044]	[2801482, 144995196]	[1779159, 130127694]	[1932852, 124359700]	[4785568, 16299]	[1122927, 169476592]	[11433, 91455967]	[28, 953012]	[1318, 559103]	[0, 259875]	[42, 241735]	[40, 206961]	[22, 205776]	[18, 199368]	[14, 195993]	[10, 184189]	[10, 182347]	[4, 175968]	[10, 169725]	[2, 158099]	[0, 155838]	[18, 153618]	[10088, 114452]	[44, 72385]	[52, 47073]	[0, 42057]	[8, 40056]	[6, 38659]	[0, 35240]	[44, 31704]	[6, 31602]	[139748, 31129]	[0, 28772]	[4, 28664]	[84, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[2, 23629]	[160, 23158]	[4, 22974]	[0, 21240]	[12, 20208]	[262, 8412]	[386, 1976]	[0, 0]
CT15F	[3364343, 195154279]	[1876131, 130530862]	[3589805, 121973369]	[1523194, 120092757]	[1103319, 120883175]	[1125788, 125139656]	[1932118, 104073951]	[1338715, 98008968]	[2459395, 95294699]	[958436, 90720763]	[1335064, 61420004]	[3532659, 181755017]	[1498601, 159745316]	[2284834, 156860686]	[2514497, 151758149]	[1862561, 149588044]	[3296293, 144995196]	[2003731, 130127694]	[2170188, 124359700]	[3252024, 16299]	[1247404, 169476592]	[11474, 91455967]	[8, 953012]	[1326, 559103]	[0, 259875]	[24, 241735]	[58, 206961]	[38, 205776]	[36, 199368]	[2, 195993]	[16, 184189]	[4, 182347]	[0, 175968]	[18, 169725]	[0, 158099]	[0, 155838]	[38, 153618]	[9518, 114452]	[50, 72385]	[32, 47073]	[0, 42057]	[0, 40056]	[0, 38659]	[0, 35240]	[8, 31704]	[20, 31602]	[170196, 31129]	[0, 28772]	[4, 28664]	[62, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[208, 23158]	[2, 22974]	[0, 21240]	[12, 20208]	[176, 8412]	[566, 1976]	[0, 0]
CT17F	[3975452, 195154279]	[1883619, 130530862]	[3847464, 121973369]	[1618835, 120092757]	[1164695, 120883175]	[1199444, 125139656]	[1935003, 104073951]	[1888231, 98008968]	[3776386, 95294699]	[1010907, 90720763]	[1327363, 61420004]	[3570068, 181755017]	[1794030, 159745316]	[2266845, 156860686]	[2585415, 151758149]	[2010104, 149588044]	[3140162, 144995196]	[2055327, 130127694]	[2306216, 124359700]	[4523530, 16299]	[1262386, 169476592]	[11615, 91455967]	[16, 953012]	[1456, 559103]	[2, 259875]	[36, 241735]	[36, 206961]	[26, 205776]	[22, 199368]	[6, 195993]	[16, 184189]	[4, 182347]	[8, 175968]	[12, 169725]	[0, 158099]	[0, 155838]	[24, 153618]	[5156, 114452]	[84, 72385]	[14, 47073]	[0, 42057]	[0, 40056]	[2, 38659]	[0, 35240]	[10, 31704]	[18, 31602]	[505947, 31129]	[0, 28772]	[0, 28664]	[68, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[256, 23158]	[4, 22974]	[0, 21240]	[32, 20208]	[124, 8412]	[406, 1976]	[0, 0]
CT19F	[3330993, 195154279]	[1751127, 130530862]	[3378112, 121973369]	[1425061, 120092757]	[1046076, 120883175]	[1077253, 125139656]	[1846211, 104073951]	[1292509, 98008968]	[2553524, 95294699]	[918257, 90720763]	[1250645, 61420004]	[3284133, 181755017]	[1429656, 159745316]	[2155421, 156860686]	[2372011, 151758149]	[1765900, 149588044]	[3071578, 144995196]	[1903174, 130127694]	[2046143, 124359700]	[3471972, 16299]	[1147578, 169476592]	[13880, 91455967]	[24, 953012]	[1150, 559103]	[0, 259875]	[50, 241735]	[34, 206961]	[64, 205776]	[60, 199368]	[8, 195993]	[8, 184189]	[30, 182347]	[4, 175968]	[4, 169725]	[4, 158099]	[0, 155838]	[22, 153618]	[9580, 114452]	[68, 72385]	[42, 47073]	[2, 42057]	[0, 40056]	[2, 38659]	[0, 35240]	[28, 31704]	[8, 31602]	[167565, 31129]	[0, 28772]	[0, 28664]	[88, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[198, 23158]	[12, 22974]	[0, 21240]	[6, 20208]	[186, 8412]	[446, 1976]	[0, 0]
CT1M	[3787222, 195154279]	[2261667, 130530862]	[4222619, 121973369]	[1896397, 120092757]	[1391928, 120883175]	[1394846, 125139656]	[2253679, 104073951]	[1629930, 98008968]	[2783620, 95294699]	[1204851, 90720763]	[1555140, 61420004]	[4094123, 181755017]	[1916832, 159745316]	[2706967, 156860686]	[2952905, 151758149]	[2190484, 149588044]	[3628975, 144995196]	[2337639, 130127694]	[2582233, 124359700]	[3303153, 16299]	[1444094, 169476592]	[27610, 91455967]	[168, 953012]	[1822, 559103]	[30, 259875]	[116, 241735]	[138, 206961]	[204, 205776]	[152, 199368]	[46, 195993]	[44, 184189]	[16, 182347]	[20, 175968]	[50, 169725]	[16, 158099]	[14, 155838]	[120, 153618]	[7904, 114452]	[24, 72385]	[32, 47073]	[4, 42057]	[10, 40056]	[2, 38659]	[0, 35240]	[16, 31704]	[2, 31602]	[208691, 31129]	[8, 28772]	[8, 28664]	[228, 26764]	[0, 25871]	[0, 24685]	[2, 24668]	[0, 24323]	[6, 23629]	[220, 23158]	[8, 22974]	[0, 21240]	[4, 20208]	[350, 8412]	[782, 1976]	[0, 0]
CT2M	[3759883, 195154279]	[2032154, 130530862]	[3602445, 121973369]	[1578330, 120092757]	[1175919, 120883175]	[1246315, 125139656]	[1981991, 104073951]	[1171135, 98008968]	[2021210, 95294699]	[982658, 90720763]	[1480022, 61420004]	[3691497, 181755017]	[1497986, 159745316]	[2432042, 156860686]	[2623714, 151758149]	[1900380, 149588044]	[3658466, 144995196]	[2141199, 130127694]	[2353922, 124359700]	[2863769, 16299]	[1302022, 169476592]	[57443, 91455967]	[402, 953012]	[1189, 559103]	[62, 259875]	[334, 241735]	[304, 206961]	[80, 205776]	[76, 199368]	[52, 195993]	[90, 184189]	[24, 182347]	[52, 175968]	[162, 169725]	[48, 158099]	[70, 155838]	[250, 153618]	[11768, 114452]	[30, 72385]	[44, 47073]	[32, 42057]	[34, 40056]	[0, 38659]	[4, 35240]	[26, 31704]	[22, 31602]	[29979, 31129]	[24, 28772]	[18, 28664]	[402, 26764]	[0, 25871]	[0, 24685]	[4, 24668]	[2, 24323]	[88, 23629]	[200, 23158]	[36, 22974]	[2, 21240]	[22, 20208]	[84, 8412]	[1367, 1976]	[0, 0]
CT3F	[2535834, 195154279]	[2642671, 130530862]	[5504638, 121973369]	[1749822, 120092757]	[1015450, 120883175]	[1201374, 125139656]	[2110181, 104073951]	[3210769, 98008968]	[5614082, 95294699]	[835528, 90720763]	[1583908, 61420004]	[4286176, 181755017]	[2306224, 159745316]	[2448333, 156860686]	[3169931, 151758149]	[1943222, 149588044]	[5543361, 144995196]	[2427070, 130127694]	[3107859, 124359700]	[2101345, 16299]	[1444352, 169476592]	[33772, 91455967]	[282, 953012]	[666, 559103]	[26, 259875]	[46, 241735]	[22, 206961]	[4, 205776]	[2, 199368]	[82, 195993]	[32, 184189]	[902, 182347]	[24, 175968]	[16, 169725]	[26, 158099]	[0, 155838]	[76, 153618]	[3857, 114452]	[4, 72385]	[94, 47073]	[0, 42057]	[6, 40056]	[0, 38659]	[2, 35240]	[32, 31704]	[14, 31602]	[1978047, 31129]	[0, 28772]	[0, 28664]	[146, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[240, 23158]	[12, 22974]	[0, 21240]	[2, 20208]	[46, 8412]	[455, 1976]	[0, 0]
CT3M	[3449878, 195154279]	[2129178, 130530862]	[4056472, 121973369]	[1784357, 120092757]	[1258822, 120883175]	[1303092, 125139656]	[2141085, 104073951]	[1551555, 98008968]	[2754592, 95294699]	[1114551, 90720763]	[1480059, 61420004]	[3845591, 181755017]	[1767820, 159745316]	[2569292, 156860686]	[2800027, 151758149]	[2024574, 149588044]	[3574707, 144995196]	[2216438, 130127694]	[2450626, 124359700]	[2898559, 16299]	[1350254, 169476592]	[30780, 91455967]	[126, 953012]	[1594, 559103]	[44, 259875]	[90, 241735]	[82, 206961]	[120, 205776]	[100, 199368]	[26, 195993]	[32, 184189]	[26, 182347]	[18, 175968]	[46, 169725]	[20, 158099]	[48, 155838]	[78, 153618]	[7369, 114452]	[18, 72385]	[46, 47073]	[8, 42057]	[10, 40056]	[4, 38659]	[0, 35240]	[34, 31704]	[10, 31602]	[238040, 31129]	[0, 28772]	[8, 28664]	[160, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[6, 23629]	[240, 23158]	[6, 22974]	[0, 21240]	[16, 20208]	[248, 8412]	[898, 1976]	[0, 0]
CT4M	[3211265, 195154279]	[1912142, 130530862]	[3759190, 121973369]	[1675431, 120092757]	[1139613, 120883175]	[1202380, 125139656]	[1897267, 104073951]	[1729856, 98008968]	[3147322, 95294699]	[1021415, 90720763]	[1319567, 61420004]	[3417978, 181755017]	[1738058, 159745316]	[2237152, 156860686]	[2512587, 151758149]	[1862574, 149588044]	[3072448, 144995196]	[1997593, 130127694]	[2197995, 124359700]	[3084165, 16299]	[1157116, 169476592]	[34225, 91455967]	[218, 953012]	[1254, 559103]	[50, 259875]	[186, 241735]	[208, 206961]	[228, 205776]	[200, 199368]	[70, 195993]	[114, 184189]	[20, 182347]	[42, 175968]	[104, 169725]	[40, 158099]	[40, 155838]	[210, 153618]	[8056, 114452]	[14, 72385]	[30, 47073]	[22, 42057]	[14, 40056]	[2, 38659]	[8, 35240]	[36, 31704]	[20, 31602]	[408807, 31129]	[0, 28772]	[24, 28664]	[142, 26764]	[0, 25871]	[4, 24685]	[0, 24668]	[0, 24323]	[18, 23629]	[98, 23158]	[20, 22974]	[2, 21240]	[2, 20208]	[365, 8412]	[630, 1976]	[0, 0]
CT5F	[3213819, 195154279]	[1944137, 130530862]	[4256551, 121973369]	[1785959, 120092757]	[1197833, 120883175]	[1253666, 125139656]	[1955391, 104073951]	[2583076, 98008968]	[5971918, 95294699]	[1034178, 90720763]	[1296157, 61420004]	[3588538, 181755017]	[2181781, 159745316]	[2231882, 156860686]	[2758149, 151758149]	[2157504, 149588044]	[3050204, 144995196]	[2130158, 130127694]	[2458411, 124359700]	[3016670, 16299]	[1225131, 169476592]	[10577, 91455967]	[42, 953012]	[1110, 559103]	[0, 259875]	[48, 241735]	[36, 206961]	[54, 205776]	[48, 199368]	[18, 195993]	[34, 184189]	[8, 182347]	[12, 175968]	[18, 169725]	[2, 158099]	[0, 155838]	[56, 153618]	[5286, 114452]	[40, 72385]	[32, 47073]	[4, 42057]	[0, 40056]	[0, 38659]	[0, 35240]	[18, 31704]	[12, 31602]	[1077281, 31129]	[0, 28772]	[0, 28664]	[72, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[178, 23158]	[4, 22974]	[0, 21240]	[26, 20208]	[288, 8412]	[392, 1976]	[0, 0]
CT9M	[2889164, 195154279]	[1668291, 130530862]	[3349964, 121973369]	[1408944, 120092757]	[992054, 120883175]	[1032373, 125139656]	[1687547, 104073951]	[1443703, 98008968]	[2750920, 95294699]	[855455, 90720763]	[1183500, 61420004]	[3128677, 181755017]	[1484404, 159745316]	[2014279, 156860686]	[2246280, 151758149]	[1606547, 149588044]	[2814321, 144995196]	[1798412, 130127694]	[1972659, 124359700]	[2734417, 16299]	[1055692, 169476592]	[15100, 91455967]	[14, 953012]	[1192, 559103]	[2, 259875]	[24, 241735]	[10, 206961]	[128, 205776]	[100, 199368]	[4, 195993]	[38, 184189]	[6, 182347]	[0, 175968]	[16, 169725]	[8, 158099]	[0, 155838]	[12, 153618]	[4074, 114452]	[32, 72385]	[32, 47073]	[2, 42057]	[0, 40056]	[0, 38659]	[0, 35240]	[14, 31704]	[2, 31602]	[359796, 31129]	[0, 28772]	[0, 28664]	[48, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[216, 23158]	[2, 22974]	[2, 21240]	[0, 20208]	[160, 8412]	[606, 1976]	[0, 0]
ELS10M	[2667620, 195154279]	[1751937, 130530862]	[3446444, 121973369]	[1447996, 120092757]	[1037645, 120883175]	[1065381, 125139656]	[1773424, 104073951]	[1451826, 98008968]	[2930500, 95294699]	[938445, 90720763]	[1217962, 61420004]	[3181503, 181755017]	[1521275, 159745316]	[2079295, 156860686]	[2321486, 151758149]	[1707799, 149588044]	[2901769, 144995196]	[1855161, 130127694]	[2032659, 124359700]	[2037795, 16299]	[1134507, 169476592]	[14589, 91455967]	[32, 953012]	[1250, 559103]	[0, 259875]	[18, 241735]	[6, 206961]	[72, 205776]	[58, 199368]	[10, 195993]	[14, 184189]	[22, 182347]	[4, 175968]	[6, 169725]	[0, 158099]	[0, 155838]	[10, 153618]	[3506, 114452]	[10, 72385]	[36, 47073]	[2, 42057]	[0, 40056]	[0, 38659]	[0, 35240]	[4, 31704]	[2, 31602]	[314822, 31129]	[0, 28772]	[0, 28664]	[70, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[190, 23158]	[0, 22974]	[2, 21240]	[12, 20208]	[226, 8412]	[434, 1976]	[0, 0]
ELS11M	[3217204, 195154279]	[1762923, 130530862]	[3458426, 121973369]	[1411488, 120092757]	[988097, 120883175]	[1039360, 125139656]	[1842990, 104073951]	[1345792, 98008968]	[2526488, 95294699]	[890133, 90720763]	[1283162, 61420004]	[3274810, 181755017]	[1405387, 159745316]	[2153604, 156860686]	[2349235, 151758149]	[1719661, 149588044]	[3156849, 144995196]	[1902692, 130127694]	[2052534, 124359700]	[3347256, 16299]	[1114764, 169476592]	[17181, 91455967]	[8, 953012]	[1006, 559103]	[0, 259875]	[18, 241735]	[18, 206961]	[54, 205776]	[46, 199368]	[6, 195993]	[10, 184189]	[2, 182347]	[4, 175968]	[4, 169725]	[2, 158099]	[0, 155838]	[18, 153618]	[5615, 114452]	[32, 72385]	[28, 47073]	[0, 42057]	[0, 40056]	[0, 38659]	[2, 35240]	[8, 31704]	[10, 31602]	[367793, 31129]	[0, 28772]	[0, 28664]	[30, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[216, 23158]	[6, 22974]	[2, 21240]	[14, 20208]	[160, 8412]	[714, 1976]	[0, 0]
ELS14F	[3513973, 195154279]	[1781644, 130530862]	[3360152, 121973369]	[1453981, 120092757]	[1060186, 120883175]	[1092610, 125139656]	[1854393, 104073951]	[1195895, 98008968]	[2260900, 95294699]	[935454, 90720763]	[1262078, 61420004]	[3342184, 181755017]	[1404975, 159745316]	[2179325, 156860686]	[2389058, 151758149]	[1783721, 149588044]	[3102628, 144995196]	[1925717, 130127694]	[2067227, 124359700]	[3720954, 16299]	[1192436, 169476592]	[9883, 91455967]	[30, 953012]	[1162, 559103]	[0, 259875]	[30, 241735]	[18, 206961]	[54, 205776]	[38, 199368]	[0, 195993]	[20, 184189]	[4, 182347]	[0, 175968]	[4, 169725]	[0, 158099]	[0, 155838]	[6, 153618]	[7994, 114452]	[38, 72385]	[34, 47073]	[2, 42057]	[4, 40056]	[2, 38659]	[0, 35240]	[8, 31704]	[8, 31602]	[107288, 31129]	[0, 28772]	[0, 28664]	[30, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[192, 23158]	[6, 22974]	[0, 21240]	[0, 20208]	[148, 8412]	[394, 1976]	[0, 0]
ELS15F	[3676151, 195154279]	[1722936, 130530862]	[3263944, 121973369]	[1392856, 120092757]	[1051944, 120883175]	[1075363, 125139656]	[1810037, 104073951]	[1215894, 98008968]	[2321421, 95294699]	[913009, 90720763]	[1243249, 61420004]	[3285843, 181755017]	[1397077, 159745316]	[2121835, 156860686]	[2341794, 151758149]	[1754971, 149588044]	[3039312, 144995196]	[1896670, 130127694]	[2034045, 124359700]	[4142778, 16299]	[1191607, 169476592]	[10340, 91455967]	[14, 953012]	[1340, 559103]	[0, 259875]	[20, 241735]	[12, 206961]	[86, 205776]	[60, 199368]	[2, 195993]	[6, 184189]	[8, 182347]	[2, 175968]	[6, 169725]	[4, 158099]	[0, 155838]	[18, 153618]	[6298, 114452]	[20, 72385]	[14, 47073]	[0, 42057]	[0, 40056]	[0, 38659]	[0, 35240]	[12, 31704]	[10, 31602]	[109967, 31129]	[0, 28772]	[0, 28664]	[60, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[0, 23629]	[214, 23158]	[4, 22974]	[4, 21240]	[6, 20208]	[72, 8412]	[354, 1976]	[0, 0]
ELS17F	[3817313, 195154279]	[1737401, 130530862]	[3346937, 121973369]	[1445924, 120092757]	[1076070, 120883175]	[1112635, 125139656]	[1776232, 104073951]	[1403686, 98008968]	[2681022, 95294699]	[918977, 90720763]	[1252871, 61420004]	[3325870, 181755017]	[1501870, 159745316]	[2150445, 156860686]	[2364436, 151758149]	[1798029, 149588044]	[2910942, 144995196]	[1899181, 130127694]	[2119714, 124359700]	[4228144, 16299]	[1224466, 169476592]	[10403, 91455967]	[10, 953012]	[1422, 559103]	[4, 259875]	[24, 241735]	[18, 206961]	[22, 205776]	[20, 199368]	[6, 195993]	[20, 184189]	[8, 182347]	[0, 175968]	[4, 169725]	[10, 158099]	[0, 155838]	[26, 153618]	[6313, 114452]	[24, 72385]	[20, 47073]	[2, 42057]	[0, 40056]	[2, 38659]	[0, 35240]	[12, 31704]	[10, 31602]	[258373, 31129]	[0, 28772]	[0, 28664]	[22, 26764]	[0, 25871]	[0, 24685]	[0, 24668]	[0, 24323]	[2, 23629]	[254, 23158]	[10, 22974]	[2, 21240]	[14, 20208]	[92, 8412]	[352, 1976]	[0, 0]
