Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
CT11M	20888820.0	296.0	18189931.0	87.08	293.3	11697691.0	11573037.0	11572507.0	85907.0	11494.0	27783.0	0.36	0.03	2.76	0.03	2.32	1250285.0	5.99	17830.0	0.09	0.0	6.79	0.06	0	1418242	12532
CT12F	20438504.0	295.0	17665295.0	86.43	293.3	10656282.0	10530023.0	10533757.0	79181.0	10906.0	32438.0	0.34	0.03	2.64	0.03	2.31	1527221.0	7.47	18361.0	0.09	0.0	5.93	0.07	0	1213305	14322
CT15F	22055675.0	294.0	19517067.0	88.49	291.7	12750732.0	12611086.0	12610543.0	94930.0	12832.0	32427.0	0.34	0.03	2.64	0.03	2.23	1246476.0	5.65	21055.0	0.1	0.0	5.7	0.07	0	1255657	15420
CT17F	25162355.0	293.0	20956888.0	83.29	290.02	11572385.0	11427530.0	11430659.0	84977.0	11488.0	45261.0	0.4	0.04	2.95	0.04	2.46	1792919.0	7.13	21954.0	0.09	0.0	9.43	0.07	0	2372979	17615
CT19F	21223488.0	294.0	18597197.0	87.63	292.54	11700824.0	11566970.0	11566219.0	87668.0	11833.0	35104.0	0.35	0.03	2.73	0.03	2.25	1273319.0	6.0	19099.0	0.09	0.0	6.22	0.06	0	1321129	12744
CT1M	25281426.0	297.0	23090194.0	91.33	295.04	15873122.0	15688591.0	15687556.0	125872.0	16253.0	43441.0	0.32	0.04	2.58	0.03	2.26	1273019.0	5.04	25313.0	0.1	0.0	3.44	0.09	0	870135	22765
CT2M	21741109.0	296.0	19659083.0	90.42	294.55	11115338.0	10962582.0	10978848.0	75326.0	9697.0	51467.0	0.33	0.04	2.45	0.03	1.96	1417267.0	6.52	23835.0	0.11	0.0	2.81	0.14	0	610507	30417
CT3F	35229057.0	294.0	24692202.0	70.09	288.88	9353922.0	9180040.0	9215088.0	52562.0	3736.0	82536.0	0.58	0.07	3.44	0.09	3.26	2088178.0	5.93	74808.0	0.21	0.0	23.51	0.26	0	8282274	91595
CT3M	23982693.0	297.0	21739910.0	90.65	295.05	14077353.0	13905527.0	13909527.0	107483.0	14383.0	45960.0	0.34	0.04	2.73	0.04	2.36	1207787.0	5.04	23393.0	0.1	0.0	4.13	0.09	0	990029	21574
CT4M	22851461.0	297.0	20260363.0	88.66	294.73	12708620.0	12534418.0	12546379.0	99888.0	13217.0	49136.0	0.36	0.05	2.89	0.04	2.58	1193542.0	5.22	22417.0	0.1	0.0	5.89	0.12	0	1347682	27457
CT5F	27422616.0	295.0	22708219.0	82.81	291.38	11845020.0	11685196.0	11686984.0	91963.0	12006.0	54067.0	0.46	0.06	3.31	0.06	2.73	1607417.0	5.86	21734.0	0.08	0.0	11.15	0.1	0	3057822	27424
CT9M	20635609.0	295.0	17744444.0	85.99	292.06	11722089.0	11579569.0	11580044.0	88459.0	11822.0	41764.0	0.39	0.04	2.87	0.04	2.54	1148276.0	5.56	17689.0	0.09	0.0	8.29	0.07	0	1710755	14445
ELS10M	20915520.0	297.0	18344818.0	87.71	293.94	12868005.0	12730230.0	12724896.0	99784.0	13440.0	29885.0	0.37	0.04	2.97	0.04	2.44	946546.0	4.53	17716.0	0.08	0.0	7.6	0.08	0	1589706	16734
ELS11M	21280942.0	295.0	18554266.0	87.19	292.87	11506677.0	11372954.0	11376986.0	83499.0	11490.0	34702.0	0.37	0.03	2.71	0.03	2.3	1280674.0	6.02	17160.0	0.08	0.0	6.65	0.06	0	1416065	12777
ELS14F	21178443.0	295.0	18669102.0	88.15	293.29	11909656.0	11777202.0	11775846.0	88948.0	11560.0	33302.0	0.34	0.03	2.57	0.02	2.2	1313981.0	6.2	19534.0	0.09	0.0	5.49	0.06	0	1163114	12712
ELS15F	21101508.0	295.0	18393487.0	87.17	293.42	11546280.0	11422878.0	11420816.0	83542.0	11383.0	30539.0	0.33	0.03	2.68	0.02	2.21	1449443.0	6.87	20595.0	0.1	0.0	5.81	0.06	0	1225329	12654
ELS17F	22215372.0	296.0	18699750.0	84.17	293.31	11184025.0	11058891.0	11055177.0	79659.0	10803.0	38386.0	0.36	0.03	2.73	0.03	2.3	1626368.0	7.32	17976.0	0.08	0.0	8.37	0.06	0	1857959	13319
ELS18F	20521681.0	294.0	17738035.0	86.44	292.67	11076767.0	10948600.0	10948513.0	81281.0	11211.0	35762.0	0.32	0.03	2.66	0.02	2.19	1402273.0	6.83	20091.0	0.1	0.0	6.57	0.06	0	1348963	12319
ELS1M	24973239.0	297.0	22999935.0	92.1	295.42	16683274.0	16489272.0	16490058.0	133303.0	17345.0	42568.0	0.32	0.03	2.64	0.03	2.26	1182592.0	4.74	24247.0	0.1	0.0	2.97	0.1	0	741499	24966
ELS20F	21279566.0	295.0	18379931.0	86.37	292.38	11097291.0	10970015.0	10969158.0	81981.0	10665.0	35487.0	0.33	0.04	2.99	0.04	2.44	1165447.0	5.48	21460.0	0.1	0.0	7.97	0.08	0	1695707	17021
ELS2M	25038223.0	297.0	22103779.0	88.28	294.57	13980988.0	13818294.0	13814874.0	110333.0	14596.0	41185.0	0.37	0.05	3.06	0.04	2.57	1340011.0	5.35	26663.0	0.11	0.0	6.14	0.12	0	1537717	30053
ELS3M	21362759.0	296.0	19720500.0	92.31	295.31	13459103.0	13296005.0	13297879.0	105720.0	13597.0	41907.0	0.29	0.03	2.52	0.03	2.07	1126967.0	5.28	25966.0	0.12	0.0	2.13	0.16	0	455137	34189
ELS4M	18777271.0	291.0	16450505.0	87.61	290.28	8706260.0	8557087.0	8570127.0	68348.0	8884.0	58901.0	0.37	0.06	2.62	0.04	2.23	1026103.0	5.46	20191.0	0.11	0.0	6.62	0.2	0	1242922	37550
ELS7F	22201574.0	295.0	19441533.0	87.57	292.84	12777572.0	12624784.0	12623159.0	99620.0	13063.0	41730.0	0.37	0.03	2.84	0.04	2.47	1168976.0	5.27	19730.0	0.09	0.0	7.0	0.08	0	1553580	17755
